time,CO2air,CO2top
731,379.7528938370649,379.8310541709175
732,379.4089418429825,379.459615632975
733,379.18609787684295,379.2189282281467
734,379.0417145154428,379.0629868343242
735,378.9481670931179,378.9619508494371
736,378.5732407051554,378.6266154759166
737,378.3380952779508,378.3727516254606
738,378.5003847691272,378.47837108245153
739,378.59743957679524,378.58314857980184
740,378.6603169858258,378.6510588977296
741,378.70105580453026,378.69505914694366
742,378.72745085000673,378.7235678151801
743,378.7445526071913,378.74203796429384
744,378.75563296195503,378.7540050580705
745,378.76281201839214,378.76175868385235
746,378.7674634164284,378.76678216218824
747,378.7704770821703,378.77003709855336
748,379.086487283719,379.0418852099594
749,379.28290130664726,379.25401289193815
750,379.4099903977338,379.39129884511266
751,379.49222641647793,379.48013300895286
752,379.5454394138027,379.53761338244436
753,379.5798717757983,379.574809606919
754,379.2887825174379,379.3297573156109
755,379.67244514467217,379.61941126883943
756,379.9059700922423,379.87163038795745
757,380.05691148259507,380.0347194984932
758,380.40430212246906,380.3547463407881
759,380.93383242035037,380.85792145835626
760,381.5780952425183,381.4854108979693
761,381.985076039991,381.9253562240979
762,381.9373252530956,381.9424803937508
763,382.2243860389574,382.18415833545185
764,382.77241197619736,382.69435110514166
765,383.42365323395165,383.3301729292572
766,384.20282803256765,384.0910276779032
767,384.6930416126861,384.62126939684117
768,385.0073832508873,384.9613939074174
769,385.2089679727973,385.179466468526
770,385.33823550108775,385.31932364081274
771,385.42113040894606,385.4090157755233
772,385.4742898900216,385.4665243881147
773,384.89686823810706,384.97777523812846
774,384.5412860017493,384.5933328153955
775,384.00555026523057,384.0821982912684
776,383.3605536736497,383.45324516689396
777,382.6437665672855,382.74703117309525
778,382.18905706402757,382.25576049425496
